dataset,metric,posicao,basis,mean,std,n_folds_paired,friedman_statistic,friedman_p,friedman_significant,kendalls_w
blood_transfusion_service_center,f1,1,attention,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,2,cauchy,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,3,cosine,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,4,cubic_spline,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,5,entropic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,6,gen_exponential,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,7,harmonic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,8,inverse_multiquadratic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,9,laplacian,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,10,logarithmic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,11,lorentzian,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,12,multiquadratic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,13,quartic_spline,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,14,radial,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,15,rational_quadratic,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,16,rbf_gaussian,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,17,shepard,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,18,sigmoidal,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,19,softmax_radial,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,20,student_t,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
blood_transfusion_service_center,f1,21,wendland_c2,0.8649012667245488,0.005852481931152053,12,nan,nan,False,nan
bng_glass,f1,1,cauchy,0.4873212509463079,0.005115740396933152,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,2,rational_quadratic,0.4872242000528198,0.005180079776703701,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,3,shepard,0.48682906289297107,0.005341119662957835,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,4,lorentzian,0.4860862155395423,0.004801862046828002,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,5,inverse_multiquadratic,0.48605572642555556,0.005499138172612372,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,6,student_t,0.48605572642555556,0.005499138172612372,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,7,attention,0.48594438563720455,0.0052083509730738095,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,8,gen_exponential,0.48592645329755313,0.005027832174951632,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,9,sigmoidal,0.4857533559090219,0.005065787731915251,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,10,harmonic,0.48572877114569285,0.005161835195217635,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,11,logarithmic,0.48547531143188777,0.0053813588442493485,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,12,laplacian,0.4853695891895722,0.004896422177880908,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,13,softmax_radial,0.4853695891895722,0.004896422177880908,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,14,rbf_gaussian,0.48516512832908637,0.005427847493485913,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,15,entropic,0.48515167009847393,0.005395406049612239,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,16,quartic_spline,0.48481318214570707,0.004922324533142006,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,17,cubic_spline,0.48461511134668916,0.004991967219020201,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,18,wendland_c2,0.48439893167494813,0.004991332149665959,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,19,cosine,0.4841980602174572,0.005081992910137985,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,20,radial,0.4841864657561756,0.005102697122367553,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
bng_glass,f1,21,multiquadratic,0.48038989532434173,0.005057180615320321,30,163.12841411601488,1.8659751975523176e-24,True,0.27188069019335814
diabetes,f1,1,attention,0.5945398672262652,0.08464901269852951,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,2,rational_quadratic,0.5943271158363909,0.08653234529638489,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,3,sigmoidal,0.5938858212781015,0.08454694249566096,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,4,harmonic,0.591967169885766,0.08576576459852185,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,5,quartic_spline,0.590289535581772,0.08651103597869274,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,6,shepard,0.5872641241489799,0.08222947892733594,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,7,cauchy,0.5872323704555552,0.08411950830656265,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,8,gen_exponential,0.5869563620364044,0.08212060806960346,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,9,inverse_multiquadratic,0.5857269467630961,0.09255211173744866,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,10,student_t,0.5857269467630961,0.09255211173744866,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,11,logarithmic,0.5852008796056097,0.0744926899007014,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,12,lorentzian,0.5849690658585001,0.08402377347372142,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,13,cosine,0.5847171111958137,0.07705791095530844,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,14,laplacian,0.5846880791722626,0.07885880629553256,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,15,softmax_radial,0.5846880791722626,0.07885880629553256,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,16,wendland_c2,0.5846051026568216,0.07191098668462641,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,17,cubic_spline,0.5841345083990205,0.0848861684384899,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,18,radial,0.5782414789378407,0.0865560771310971,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,19,entropic,0.5772564220277882,0.08893350460222034,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,20,rbf_gaussian,0.5720016113799391,0.07690608504786861,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,21,multiquadratic,0.5616584079169197,0.10999858695468473,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
fetal_health,f1,1,sigmoidal,0.5077481366033653,0.06970510729311911,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,2,radial,0.5034305995681747,0.07070648271920177,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,3,lorentzian,0.5024585346379419,0.07125284743665398,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,4,laplacian,0.5021852022768081,0.0710548594199954,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,5,softmax_radial,0.5021852022768081,0.0710548594199954,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,6,rational_quadratic,0.5015586719868871,0.07049979102613849,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,7,shepard,0.4956751708435271,0.07443465167726236,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,8,attention,0.4925595098428485,0.07323357687514426,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
