dataset,metric,posicao,basis,mean,std,n_folds_paired,friedman_statistic,friedman_p,friedman_significant,kendalls_w
diabetes,f1,1,attention,0.5945398672262652,0.08464901269852951,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,2,rational_quadratic,0.5943271158363909,0.08653234529638489,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,3,sigmoidal,0.5938858212781015,0.08454694249566096,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,4,harmonic,0.591967169885766,0.08576576459852185,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,5,quartic_spline,0.590289535581772,0.08651103597869274,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,6,shepard,0.5872641241489799,0.08222947892733594,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,7,cauchy,0.5872323704555552,0.08411950830656265,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,8,gen_exponential,0.5869563620364044,0.08212060806960346,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,9,inverse_multiquadratic,0.5857269467630961,0.09255211173744866,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,10,student_t,0.5857269467630961,0.09255211173744866,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,11,logarithmic,0.5852008796056097,0.0744926899007014,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,12,lorentzian,0.5849690658585001,0.08402377347372142,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,13,cosine,0.5847171111958137,0.07705791095530844,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,14,laplacian,0.5846880791722626,0.07885880629553256,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,15,softmax_radial,0.5846880791722626,0.07885880629553256,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,16,wendland_c2,0.5846051026568216,0.07191098668462641,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,17,cubic_spline,0.5841345083990205,0.0848861684384899,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,18,radial,0.5782414789378407,0.0865560771310971,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,19,entropic,0.5772564220277882,0.08893350460222034,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,20,rbf_gaussian,0.5720016113799391,0.07690608504786861,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
diabetes,f1,21,multiquadratic,0.5616584079169197,0.10999858695468473,30,17.369316249007785,0.6288785670638256,False,0.028948860415012975
fetal_health,f1,1,sigmoidal,0.5077481366033653,0.06970510729311911,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,2,radial,0.5034305995681747,0.07070648271920177,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,3,lorentzian,0.5024585346379419,0.07125284743665398,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,4,laplacian,0.5021852022768081,0.0710548594199954,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,5,softmax_radial,0.5021852022768081,0.0710548594199954,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,6,rational_quadratic,0.5015586719868871,0.07049979102613849,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,7,shepard,0.4956751708435271,0.07443465167726236,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,8,attention,0.4925595098428485,0.07323357687514426,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,9,entropic,0.4917582842772075,0.07493665186681872,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,10,rbf_gaussian,0.4917582842772075,0.07493665186681872,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,11,gen_exponential,0.48954367010364985,0.07084787791240639,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,12,cauchy,0.48848884627420674,0.07427585033006924,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,13,harmonic,0.4869611211518825,0.07181017329673874,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,14,student_t,0.4847709073541891,0.07592685987529674,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,15,inverse_multiquadratic,0.4843343912054181,0.07565213017025008,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,16,logarithmic,0.4817681290152483,0.07828291478390423,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,17,multiquadratic,0.47320345071292286,0.07526695223804256,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,18,cosine,0.42147618233285455,0.02301715005404089,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,19,wendland_c2,0.4209076201772307,0.02288994503164735,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,20,cubic_spline,0.41990370456774107,0.02275753417719142,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
fetal_health,f1,21,quartic_spline,0.4186248887819276,0.02344133370506444,30,150.91567328918325,4.1971717428481857e-22,True,0.25152612214863873
iris,f1,1,cauchy,0.9638800705467373,0.04842093447905052,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
iris,f1,2,rational_quadratic,0.9638800705467373,0.04842093447905052,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
iris,f1,3,shepard,0.9607054673721341,0.04908858461354675,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
iris,f1,4,inverse_multiquadratic,0.9571340388007055,0.06673481410405802,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
iris,f1,5,student_t,0.9571340388007055,0.06673481410405802,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
iris,f1,6,cosine,0.9539594356261023,0.06689042342320785,30,19.621621621621347,0.48181149311123384,False,0.032702702702702244
